,2020-21,2021-22,2022-23,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2012-13,2008-09,2009-10,2010-11,2011-12,2007-08
1630535,,"['2021-22', 48, 6, 13.3, 1.7, 4.0, 0.426, 0.4, 1.3, 0.311, 0.9, 1.4, 0.677, 0.8, 2.0, 2.8, 0.7, 0.5, 0.5, 0.8, 1.9, 4.7, 1610612757, 20.0, '6-7', 'Greg Brown III', 'Forward']","['2022-23', 16, 0, 5.8, 0.7, 1.8, 0.393, 0.1, 0.4, 0.143, 0.3, 0.8, 0.417, 0.1, 1.1, 1.2, 0.2, 0.3, 0.3, 0.4, 0.8, 1.8, 1610612757, 21.0, '6-7', 'Greg Brown III', 'Forward']",,,,,,,,,,,,,
1630215,,"['2021-22', 42, 1, 8.6, 1.5, 3.6, 0.404, 0.7, 2.1, 0.318, 0.3, 0.4, 0.688, 0.1, 1.0, 1.1, 1.5, 0.4, 0.2, 0.8, 1.1, 3.8, 1610612762, 21.0, '6-3', 'Jared Butler', 'Guard']","['2022-23', 6, 1, 12.8, 2.5, 5.3, 0.469, 1.2, 2.3, 0.5, 0.0, 0.0, 0.0, 0.2, 0.5, 0.7, 1.3, 0.8, 0.0, 0.8, 0.8, 6.2, 1610612760, 22.0, '6-3', 'Jared Butler', 'Guard']",,,,,,,,,,,,,
1630551,,"['2021-22', 36, 0, 7.8, 0.9, 1.9, 0.463, 0.3, 0.8, 0.357, 0.3, 0.3, 1.0, 1.0, 1.0, 2.0, 0.3, 0.2, 0.1, 0.2, 0.9, 2.3, 1610612761, 21.0, '6-6', 'Justin Champagnie', 'Guard-Forward']","['2022-23', 5, 0, 6.9, 1.0, 3.0, 0.333, 0.2, 1.0, 0.2, 0.0, 0.0, 0.0, 0.6, 1.0, 1.6, 0.8, 0.2, 0.0, 0.0, 0.4, 2.2, 0, 22.0, '6-6', 'Justin Champagnie', 'Guard-Forward']",,,,,,,,,,,,,
1630528,,"['2021-22', 74, 2, 18.0, 3.0, 6.8, 0.448, 0.8, 2.6, 0.296, 1.1, 1.5, 0.735, 0.7, 1.8, 2.5, 2.0, 0.9, 0.2, 1.5, 1.3, 7.9, 1610612745, 20.0, '6-4', 'Josh Christopher', 'Guard']","['2022-23', 64, 2, 12.3, 2.4, 5.1, 0.465, 0.3, 1.4, 0.236, 0.7, 0.9, 0.75, 0.3, 0.8, 1.1, 1.1, 0.5, 0.2, 0.9, 0.9, 5.8, 1610612745, 21.0, '6-4', 'Josh Christopher', 'Guard']",,,,,,,,,,,,,
1628380,,"['2021-22', 28, 4, 17.9, 2.7, 5.5, 0.49, 0.5, 1.5, 0.341, 1.9, 2.3, 0.8, 1.6, 3.8, 5.5, 2.2, 0.5, 0.8, 1.6, 2.4, 7.8, 1610612759, 24.0, '6-11', 'Zach Collins', 'Forward-Center']","['2022-23', 63, 26, 22.9, 4.5, 8.7, 0.518, 0.9, 2.3, 0.374, 1.7, 2.3, 0.761, 1.8, 4.5, 6.4, 2.9, 0.6, 0.8, 2.0, 3.2, 11.6, 1610612759, 25.0, '6-11', 'Zach Collins', 'Forward-Center']",,,,,"['2017-18', 66, 1, 15.8, 1.7, 4.4, 0.398, 0.5, 1.7, 0.31, 0.4, 0.6, 0.643, 0.7, 2.7, 3.3, 0.8, 0.3, 0.5, 0.9, 2.0, 4.4, 1610612757, 20.0, '6-11', 'Zach Collins', 'Forward-Center']","['2018-19', 77, 0, 17.6, 2.5, 5.2, 0.473, 0.5, 1.6, 0.331, 1.2, 1.6, 0.746, 1.4, 2.8, 4.2, 0.9, 0.3, 0.9, 1.0, 2.3, 6.6, 1610612757, 21.0, '6-11', 'Zach Collins', 'Forward-Center']","['2019-20', 11, 11, 26.4, 2.9, 6.2, 0.471, 0.6, 1.7, 0.368, 0.5, 0.7, 0.75, 2.3, 4.0, 6.3, 1.5, 0.5, 0.5, 1.3, 3.3, 7.0, 1610612757, 22.0, '6-11', 'Zach Collins', 'Forward-Center']",,,,,,
1630534,,,"['2022-23', 59, 22, 20.5, 2.8, 6.5, 0.427, 1.4, 3.9, 0.355, 0.9, 1.2, 0.812, 0.7, 1.3, 2.1, 1.1, 0.3, 0.3, 0.7, 1.7, 7.9, 1610612762, 23.0, '6-5', 'Ochai Agbaji', 'Guard']",,,,,,,,,,,,,
1631116,,,"['2022-23', 31, 0, 7.3, 1.4, 3.5, 0.394, 1.0, 2.7, 0.381, 0.1, 0.2, 0.667, 0.0, 1.3, 1.3, 0.4, 0.2, 0.1, 0.4, 0.5, 3.9, 1610612744, 20.0, '6-9', 'Patrick Baldwin', 'Forward']",,,,,,,,,,,,,
1631094,,,"['2022-23', 72, 72, 33.7, 6.7, 15.6, 0.427, 1.2, 4.0, 0.298, 5.5, 7.4, 0.738, 1.2, 5.7, 6.9, 3.7, 0.8, 0.5, 2.8, 2.2, 20.0, 1610612753, 20.0, '6-10', 'Paolo Banchero', 'Forward']",,,,,,,,,,,,,
1631230,,,"['2022-23', 28, 0, 14.6, 1.6, 3.1, 0.535, 0.0, 0.1, 0.0, 0.6, 0.9, 0.72, 1.6, 2.0, 3.6, 0.9, 0.4, 0.7, 0.5, 2.0, 3.9, 1610612759, 20.0, '6-9', 'Dominick Barlow', 'Forward']",,,,,,,,,,,,,
1630699,,,"['2022-23', 52, 11, 13.5, 1.8, 4.7, 0.395, 0.9, 2.7, 0.331, 0.5, 0.7, 0.73, 0.7, 1.5, 2.2, 0.7, 0.4, 0.1, 0.9, 1.4, 5.1, 1610612749, 22.0, '6-7', 'MarJon Beauchamp', 'Forward']",,,,,,,,,,,,,
1631205,,,"['2022-23', 10, 0, 9.0, 0.5, 2.7, 0.185, 0.4, 2.5, 0.16, 0.2, 0.2, 1.0, 0.2, 0.4, 0.6, 0.4, 0.2, 0.0, 0.0, 0.6, 1.6, 1610612765, 23.0, '6-6', 'Buddy Boeheim', 'Forward']",,,,,,,,,,,,,
1631123,,,"['2022-23', 5, 0, 14.1, 1.2, 2.8, 0.429, 0.4, 1.2, 0.333, 0.2, 0.4, 0.5, 0.2, 1.0, 1.2, 0.8, 0.8, 0.4, 0.8, 1.2, 3.0, 0, 24.0, '6-2', 'Jamaree Bouyea', 'Guard']",,,,,,,,,,,,,
1631103,,,"['2022-23', 66, 32, 23.5, 4.1, 9.3, 0.44, 1.2, 3.9, 0.302, 0.9, 1.1, 0.829, 0.4, 2.3, 2.7, 1.9, 0.5, 0.1, 1.2, 1.7, 10.2, 1610612759, 20.0, '6-4', 'Malaki Branham', 'Forward']",,,,,,,,,,,,,
1631128,,,"['2022-23', 76, 6, 15.5, 1.9, 3.8, 0.495, 0.4, 1.3, 0.354, 0.5, 0.8, 0.625, 0.6, 1.8, 2.4, 0.8, 0.5, 0.2, 0.5, 1.3, 4.7, 1610612743, 22.0, '6-6', 'Christian Braun', 'Guard']",,,,,,,,,,,,,
1631112,,,"['2022-23', 6, 0, 6.7, 0.7, 1.2, 0.571, 0.0, 0.2, 0.0, 0.2, 0.3, 0.5, 0.3, 0.7, 1.0, 0.5, 0.7, 0.0, 0.3, 1.5, 1.5, 1610612754, 20.0, '6-7', 'Kendall Brown', 'Guard']",,,,,,,,,,,,,
1629126,,,"['2022-23', 2, 0, 3.3, 0.0, 1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1610612758, 29.0, '6-4', 'Deonte Burton', 'Guard-Forward']",,,,,,"['2018-19', 32, 0, 7.5, 1.0, 2.6, 0.402, 0.3, 0.8, 0.296, 0.3, 0.4, 0.667, 0.1, 0.8, 0.9, 0.3, 0.2, 0.3, 0.3, 1.0, 2.6, 1610612760, 25.0, '6-4', 'Deonte Burton', 'Guard-Forward']","['2019-20', 39, 0, 9.1, 1.1, 3.2, 0.344, 0.3, 1.4, 0.189, 0.2, 0.4, 0.571, 0.2, 1.3, 1.5, 0.4, 0.2, 0.3, 0.5, 0.9, 2.7, 1610612760, 26.0, '6-4', 'Deonte Burton', 'Guard-Forward']",,,,,,
1631219,,,"['2022-23', 19, 1, 11.6, 0.9, 2.8, 0.321, 0.4, 1.8, 0.229, 0.2, 0.2, 0.75, 0.2, 0.7, 0.9, 0.6, 0.4, 0.5, 0.1, 1.2, 2.4, 1610612757, 20.0, '7-0', 'John Butler Jr.', 'Forward']",,,,,,,,,,,,,
1631288,,,"['2022-23', 18, 0, 13.3, 2.1, 3.7, 0.561, 0.4, 1.1, 0.35, 0.9, 1.2, 0.773, 0.8, 2.1, 2.9, 0.7, 0.6, 0.1, 0.3, 1.2, 5.4, 1610612748, 24.0, '6-6', 'Jamal Cain', 'Forward']",,,,,,,,,,,,,
1630577,,,"['2022-23', 17, 3, 18.8, 3.5, 7.6, 0.454, 1.9, 4.8, 0.402, 0.8, 1.0, 0.824, 0.6, 2.9, 3.5, 0.6, 0.4, 0.3, 0.6, 1.5, 9.7, 0, 22.0, '6-7', 'Julian Champagnie', 'Forward']",,,,,,,,,,,,,
1631113,,,"['2022-23', 36, 0, 7.8, 1.0, 2.3, 0.422, 0.1, 0.4, 0.133, 0.2, 0.4, 0.462, 0.3, 0.8, 1.1, 1.6, 0.3, 0.1, 0.5, 0.4, 2.2, 1610612763, 20.0, '5-11', 'Kennedy Chandler', 'Guard']",,,,,,,,,,,,,
1631108,,,"['2022-23', 41, 3, 12.5, 1.1, 2.6, 0.415, 0.6, 1.5, 0.419, 0.3, 0.4, 0.875, 0.2, 1.7, 1.8, 0.5, 0.2, 0.2, 0.3, 0.8, 3.1, 1610612747, 20.0, '6-5', 'Max Christie', 'Guard']",,,,,,,,,,,,,
